sample,I_in,Q_in,I_out,Q_out,phase_err,u,nco_sin,nco_cos
1831,-3070,16093,7540,-3200,284497710,-23836385,-27133,-18371
1832,-3574,15989,7523,-3241,280704146,-23873253,-26438,-19357
1833,-4074,15869,7505,-3281,276889439,-23856754,-25832,-20159
1834,-4571,15733,7508,-3276,277392171,-23839589,-25072,-21096
1835,-5063,15582,7490,-3316,273588336,-23875378,-24279,-22005
1836,-5550,15415,7472,-3357,269769360,-23857993,-23592,-22739
1837,-6031,15233,7474,-3351,270286045,-23840015,-22739,-23592
1838,-6507,15036,7456,-3392,266428512,-23875216,-21856,-24413
1839,-6976,14824,7438,-3432,262625331,-23856409,-21096,-25072
1840,-7438,14598,7440,-3426,263127744,-23837861,-20159,-25832
1841,-7893,14357,7422,-3467,259266604,-23872123,-19195,-26556
1842,-8340,14102,7403,-3506,255430766,-23852506,-18204,-27245
1843,-8779,13833,7384,-3546,251548478,-23832790,-17360,-27790
1844,-9209,13550,7386,-3541,252093660,-23812090,-16325,-28411
1845,-9630,13255,7367,-3581,248208524,-23845697,-15269,-28992
1846,-10042,12946,7348,-3621,244335065,-23824605,-14372,-29447
1847,-10443,12624,7351,-3615,244869448,-23803243,-13279,-29956
1848,-10835,12289,7331,-3655,240972657,-23835946,-12167,-30424
1849,-11215,11943,7311,-3694,237113212,-23813939,-11228,-30783
1850,-11585,11585,7313,-3689,237608000,-23791977,-10087,-31176
1851,-11943,11215,7294,-3728,233715790,-23823419,-8933,-31526
1852,-12289,10835,7273,-3768,229821342,-23800693,-7962,-31785
1853,-12624,10443,7276,-3762,230328678,-23777523,-6786,-32057
1854,-12946,10042,7256,-3802,226448979,-23808342,-5602,-32285
1855,-13255,9630,7235,-3841,222534416,-23784993,-4609,-32441
1856,-13550,9209,7238,-3835,223075590,-23760798,-3412,-32589
1857,-13833,8779,7217,-3874,219122557,-23791256,-2210,-32692
1858,-14102,8340,7196,-3913,215197888,-23766226,-1206,-32745
1859,-14357,7893,7199,-3908,215741742,-23741124,0,-32767
1860,-14598,7438,7178,-3947,211805888,-23770832,1005,-32752
1861,-14824,6976,7181,-3942,212358140,-23745231,2009,-32705
