sample,I_in,Q_in,I_out,Q_out,phase_err,u,nco_sin,nco_cos
0,11585,11585,0,0,0,0,0,0
1,11215,11943,0,0,0,0,0,32767
2,10835,12289,5607,5971,23854376,0,0,32767
3,10443,12624,5417,6144,47643218,-294832,0,32767
4,10042,12946,5221,6311,71464827,-591401,0,32767
5,9630,13255,5020,6472,95155368,-890916,0,32767
6,9209,13550,4814,6627,118780375,-1191356,0,32767
7,8779,13833,4604,6774,142241547,-1493516,0,32767
8,8340,14102,4389,6916,165604418,-1796175,0,32767
9,7893,14357,4169,7050,188803454,-2100125,-201,32766
10,7438,14598,3990,7153,207327174,-2404545,-201,32766
11,6976,14824,3763,7275,230175324,-2653658,-201,32766
12,6507,15036,3533,7390,252765768,-2958198,-402,32765
13,6031,15233,3345,7477,270792399,-3261993,-603,32761
14,5550,15415,3155,7559,288644530,-3511794,-603,32761
15,5063,15582,2916,7654,310545370,-3761364,-804,32757
16,4571,15733,2721,7726,327972303,-4062881,-1005,32752
17,4074,15869,2525,7792,345172304,-4311442,-1206,32745
18,3574,15989,2327,7853,362176017,-4559059,-1407,32737
19,3070,16093,2128,7910,378904714,-4806087,-1608,32728
20,2563,16182,1927,7961,395402640,-5051532,-1809,32717
21,2053,16254,1726,8007,411663118,-5295912,-2009,32705
22,1542,16311,1522,8048,427664942,-5539119,-2210,32692
23,1029,16351,1319,8084,443373018,-5780866,-2611,32663
24,515,16375,1164,8108,455083306,-6020692,-2811,32646
25,0,16384,958,8134,470287770,-6212785,-3012,32628
26,-515,16375,753,8157,485228544,-6449315,-3412,32589
27,-1029,16351,596,8169,496313890,-6684210,-3612,32567
28,-1542,16311,389,8182,510671396,-6873049,-4011,32521
29,-2053,16254,233,8188,521358954,-7103515,-4210,32495
30,-2563,16182,26,8191,535099755,-7290155,-4609,32441
31,-3070,16093,-131,8190,-528209684,-7515674,-5007,32382
32,-3574,15989,-288,8186,-517659927,5569270,-5205,32351
33,-4074,15869,-495,8176,-503463080,5495297,-5602,32285
34,-4571,15733,-651,8165,-492522261,5375121,-5404,32318
35,-5063,15582,-957,8135,-470456332,5293672,-5205,32351
36,-5550,15415,-1262,8093,-447757394,5073552,-4808,32412
37,-6031,15233,-1614,8030,-420544100,4843251,-4609,32441
38,-6507,15036,-1915,7964,-396527858,4554730,-4410,32469
39,-6976,14824,-2213,7887,-371932731,4302817,-4210,32495
40,-7438,14598,-2507,7798,-346798760,4041184,-4011,32521
41,-7893,14357,-2798,7699,-321236756,3770264,-3811,32545
42,-8340,14102,-3085,7588,-295165630,3491369,-3612,32567
43,-8779,13833,-3368,7467,-268711558,3203451,-3412,32589
44,-9209,13550,-3646,7335,-241856950,2908015,-3212,32609
45,-9630,13255,-3919,7193,-214657577,2604803,-3012,32628
46,-10042,12946,-4186,7041,-187206120,2294462,-2811,32646
47,-10443,12624,-4448,6879,-159423252,1978100,-2811,32646
48,-10835,12289,-4661,6736,-136042263,1654710,-2611,32663
49,-11215,11943,-4911,6556,-107868766,1382758,-2611,32663
50,-11585,11585,-5114,6399,-84244202,1049075,-2410,32678
51,-11943,11215,-5351,6202,-55839700,768606,-2410,32678
52,-12289,10835,-5543,6031,-32021196,426535,-2410,32678
53,-12624,10443,-5730,5854,-8215028,138111,-2410,32678
54,-12946,10042,-5911,5671,15679248,-152704,-2410,32678
55,-13255,9630,-6086,5483,39495832,-447151,-2210,32692
56,-13550,9209,-6288,5250,67932650,-743190,-2410,32678
57,-13833,8779,-6418,5090,87006008,-1098877,-2410,32678
58,-14102,8340,-6575,4886,110659692,-1341873,-2410,32678
59,-14357,7893,-6725,4677,134205416,-1643517,-2410,32678
60,-14598,7438,-6869,4463,157608092,-1946353,-2410,32678
61,-14824,6976,-7006,4245,180867720,-2249936,-2611,32663
62,-15036,6507,-7111,4067,199419424,-2554251,-2611,32663
63,-15233,6031,-7235,3842,222333954,-2802862,-2811,32646
64,-15415,5550,-7330,3657,240635388,-3107378,-2811,32646
65,-15582,5063,-7441,3425,263120175,-3357325,-3012,32628
66,-15733,4571,-7526,3236,281031192,-3660932,-3212,32609
67,-15869,4074,-7605,3045,298765210,-3910410,-3412,32589
68,-15989,3574,-7680,2852,316341739,-4159614,-3412,32589
69,-16093,3070,-7765,2609,337843479,-4408765,-3612,32567
70,-16182,2563,-7828,2412,354903285,-4708308,-3811,32545
71,-16254,2053,-7887,2213,371793160,-4955247,-4011,32521
72,-16311,1542,-7941,2013,388401344,-5201908,-4410,32469
73,-16351,1029,-7978,1861,400802931,-5446891,-4609,32441
74,-16375,515,-8022,1659,416956582,-5641656,-4808,32412
75,-16384,0,-8061,1456,432847200,-5884120,-5007,32382
76,-16375,-515,-8096,1251,448512000,-6125058,-5404,32318
77,-16351,-1029,-8118,1096,460143580,-6364903,-5602,32285
78,-16311,-1542,-8143,890,475279456,-6556572,-5800,32250
79,-16254,-2053,-8164,684,490099050,-6792795,-6195,32176
80,-16182,-2563,-8175,528,501070837,-7026725,-6590,32098
81,-16093,-3070,-8184,371,511927800,-7214681,-6786,32057
82,-15989,-3574,-8190,164,525934213,-7402390,-7179,31971
83,-15869,-4074,-8192,7,536321388,-7630184,-7571,31880
84,-15733,-4571,-8191,-149,-527013053,-7814742,-7767,31833
85,-15582,-5063,-8184,-356,-513021114,5270381,-8157,31736
86,-15415,-5550,-8176,-513,-502232249,5153737,-8545,31633
87,-15233,-6031,-8165,-669,-491205470,5075187,-8351,31685
88,-15036,-6507,-8134,-975,-469141034,4992544,-8157,31736
89,-14824,-6976,-8092,-1280,-446402595,4772302,-7767,31833
90,-14598,-7438,-8028,-1632,-419145984,4541373,-7571,31880
91,-14357,-7893,-7961,-1932,-395095356,4252172,-7375,31926
92,-14102,-8340,-7883,-2230,-370463414,3999685,-7179,31971
93,-13833,-8779,-7794,-2524,-345328020,3737444,-6983,32014
94,-13550,-9209,-7693,-2815,-319698352,3466349,-6786,32057
95,-13255,-9630,-7582,-3102,-293602011,3186461,-6590,32098
96,-12946,-10042,-7461,-3384,-267167400,2898067,-6393,32137
97,-12624,-10443,-7328,-3662,-240288132,2602705,-6195,32176
98,-12289,-10835,-7186,-3934,-213075921,2299024,-6195,32176
99,-11943,-11215,-7058,-4158,-190037084,1988356,-5998,32213
100,-11585,-11585,-6897,-4420,-162352748,1726363,-5998,32213
101,-11215,-11943,-6755,-4635,-138973660,1404493,-5800,32250
102,-10835,-12289,-6576,-4885,-110838400,1132877,-5800,32250
103,-10443,-12624,-6420,-5089,-87227700,799979,-5602,32285
104,-10042,-12946,-6224,-5327,-58807749,519998,-5602,32285
105,-9630,-13255,-6054,-5520,-35023136,178055,-5602,32285
106,-9209,-13550,-5878,-5707,-11168645,-109633,-5602,32285
107,-8779,-13833,-5695,-5888,12653267,-400725,-5602,32285
108,-8340,-14102,-5508,-6065,36495966,-693962,-5602,32285
109,-7893,-14357,-5314,-6235,60306086,-990001,-5602,32285
110,-7438,-14598,-5116,-6398,84045740,-1288184,-5602,32285
111,-6976,-14824,-4913,-6556,107714928,-1588039,-5602,32285
112,-6507,-15036,-4704,-6707,131249080,-1889559,-5800,32250
113,-6031,-15233,-4533,-6824,150110850,-2191938,-5800,32250
114,-5550,-15415,-4316,-6963,173433300,-2439082,-5800,32250
115,-5063,-15582,-4096,-7095,196549250,-2743373,-5998,32213
116,-4571,-15733,-3915,-7196,215019837,-3047603,-6195,32176
117,-4074,-15869,-3732,-7293,233365232,-3296887,-6195,32176
118,-3574,-15989,-3501,-7407,255969035,-3546596,-6393,32137
119,-3070,-16093,-3313,-7492,273914596,-3850897,-6590,32098
120,-2563,-16182,-3122,-7574,291728084,-4100038,-6786,32057
121,-2053,-16254,-2930,-7651,309380713,-4349464,-6786,32057
122,-1542,-16311,-2688,-7739,331010155,-4598804,-6983,32014
123,-1029,-16351,-2492,-7804,348147267,-4899182,-7179,31971
124,-515,-16375,-2294,-7864,365088642,-5146346,-7571,31880
125,0,-16384,-2143,-7907,377742610,-5392922,-7767,31833
126,515,-16375,-1942,-7959,394297344,-5588316,-7962,31785
127,1029,-16351,-1740,-8005,410571330,-5833274,-8157,31736
128,1542,-16311,-1537,-8047,426590126,-6076530,-8545,31633
129,2053,-16254,-1383,-8075,438542844,-6318370,-8739,31580
130,2563,-16182,-1179,-8107,454032521,-6511666,-8933,31526
131,3070,-16093,-973,-8134,469296343,-6749954,-9319,31414
132,3574,-15989,-817,-8151,480625145,-6987105,-9512,31356
133,4074,-15869,-611,-8169,495325948,-7177251,-9896,31237
134,4571,-15733,-455,-8179,506236171,-7410284,-10278,31113
135,5063,-15582,-298,-8187,516995316,-7598037,-10469,31050
136,5550,-15415,-91,-8192,530903839,-7785088,-10849,30919
137,6031,-15233,66,-8192,-532465220,-8012214,-11228,30783
138,6507,-15036,223,-8189,-522017358,5073915,-11605,30643
139,6976,-14824,379,-8183,-511360662,5001656,-11980,30498
140,7438,-14598,536,-8174,-500512304,4925700,-11793,30571
141,7893,-14357,842,-8149,-478758908,4846237,-11417,30714
142,8340,-14102,1197,-8104,-452563546,4630833,-11228,30783
143,8779,-13833,1501,-8053,-429350422,4358205,-11039,30852
144,9209,-13550,1802,-7991,-405539876,4119638,-10849,30919
145,9630,-13255,2101,-7918,-381131770,3871208,-10659,30985
146,10042,-12946,2397,-7834,-356251840,3612849,-10469,31050
147,10443,-12624,2689,-7738,-330830572,3346051,-10278,31113
148,10835,-12289,2977,-7631,-304940079,3069905,-10087,31176
149,11215,-11943,3262,-7514,-278581692,2785244,-9896,31237
150,11585,-11585,3542,-7386,-251912104,2492035,-9896,31237
151,11943,-11215,3772,-7272,-229290320,2192164,-9704,31297
152,12289,-10835,4042,-7125,-201941016,1939474,-9512,31356
153,12624,-10443,4307,-6968,-174363864,1625937,-9512,31356
154,12946,-10042,4524,-6829,-151025868,1306663,-9319,31414
155,13255,-9630,4777,-6655,-122998916,1036838,-9319,31414
156,13550,-9209,4984,-6501,-99389565,706566,-9319,31414
157,13833,-8779,5185,-6342,-75722947,427901,-9126,31470
158,14102,-8340,5420,-6142,-47307732,146006,-9126,31470
159,14357,-7893,5610,-5969,-23475552,-197108,-9126,31470
160,14598,-7438,5795,-5790,368580,-486612,-9126,31470
161,14824,-6976,5974,-5605,24224664,-778809,-9126,31470
162,15036,-6507,6146,-5415,48029760,-1073701,-9126,31470
163,15233,-6031,6314,-5219,71806212,-1370511,-9319,31414
164,15415,-5550,6444,-5057,90912412,-1669510,-9319,31414
165,15582,-5063,6599,-4853,114526275,-1913326,-9319,31414
166,15733,-4571,6749,-4643,138053111,-2214895,-9319,31414
167,15869,-4074,6891,-4429,161430092,-2517911,-9512,31356
168,15989,-3574,7001,-4253,180146204,-2821588,-9512,31356
169,16093,-3070,7131,-4031,203201484,-3070155,-9704,31297
170,16182,-2563,7230,-3850,221623079,-3374352,-9896,31237
171,16254,-2053,7325,-3666,239916183,-3623741,-9896,31237
172,16311,-1542,7437,-3433,262430565,-3873509,-10087,31176
173,16351,-1029,7521,-3245,280355133,-4177404,-10278,31113
174,16375,-515,7601,-3053,298081746,-4426976,-10469,31050
175,16384,0,7675,-2860,315631590,-4676016,-10659,30985
176,16375,515,7746,-2665,333021184,-4924764,-10849,30919
177,16351,1029,7810,-2468,350156770,-5173406,-11039,30852
178,16311,1542,7870,-2270,367068202,-5420766,-11228,30783
179,16254,2053,7925,-2071,383742567,-5667186,-11605,30643
180,16182,2563,7963,-1919,396178796,-5912482,-11793,30571
181,16093,3070,8009,-1717,412444528,-6107178,-11980,30498
182,15989,3574,8050,-1514,428417634,-6350533,-12353,30349
183,15869,4074,8077,-1359,440354992,-6592009,-12539,30273
184,15733,4571,8109,-1155,455836934,-6785311,-12910,30117
185,15582,5063,8130,-999,467394148,-7023697,-13094,30037
186,15415,5550,8153,-793,482378079,-7215229,-13462,29874
187,15233,6031,8166,-637,493505780,-7450348,-13828,29706
188,15036,6507,8177,-481,504423128,-7639406,-14010,29621
189,14824,6976,8187,-274,518633913,-7827053,-14372,29447
190,14598,7438,8190,-117,529153144,-8056572,-14732,29268
191,14357,7893,8191,40,-534193232,-8241982,-15090,29085
192,14102,8340,8189,197,-523757940,4844054,-15446,28898
193,13833,8779,8183,353,-513149408,4772135,-15800,28706
194,13550,9209,8175,510,-502349724,4696960,-15446,28898
195,13255,9630,8145,867,-476981732,4618290,-15269,28992
196,12946,10042,8107,1171,-454527065,4358408,-15090,29085
197,12624,10443,8057,1475,-431351760,4131824,-14912,29177
198,12289,10835,7996,1776,-407610141,3893934,-14732,29268
199,11943,11215,7923,2076,-383218440,3646569,-14553,29358
200,11585,11585,7840,2371,-358390998,3388634,-14372,29447
201,11215,11943,7746,2664,-332999240,3122708,-14191,29534
202,10835,12289,7640,2953,-307134426,2847155,-14010,29621
203,10443,12624,7524,3238,-280898306,2563043,-14010,29621
204,10042,12946,7418,3473,-258565269,2271580,-13828,29706
205,9630,13255,7283,3749,-231611840,2025555,-13645,29791
206,9209,13550,7137,4020,-204273450,1720038,-13645,29791
207,8779,13833,7007,4242,-181223824,1406884,-13462,29874
208,8340,14102,6843,4502,-153419548,1143818,-13462,29874
209,7893,14357,6698,4715,-129980216,819524,-13462,29874
210,7438,14598,6547,4923,-106423964,546209,-13279,29956
211,6976,14824,6357,5165,-78131084,268946,-13279,29956
212,6507,15036,6192,5362,-54387512,-69376,-13279,29956
213,6031,15233,6020,5554,-30574773,-354493,-13279,29956
214,5550,15415,5843,5740,-6709544,-643001,-13279,29956
215,5063,15582,5660,5921,17121705,-934701,-13279,29956
216,4571,15733,5471,6096,40962209,-1228530,-13279,29956
217,4074,15869,5277,6265,64752056,-1525019,-13279,29956
218,3574,15989,5077,6428,88507923,-1823428,-13462,29874
219,3070,16093,4913,6554,107528604,-2123958,-13462,29874
220,2563,16182,4705,6705,131076796,-2368501,-13645,29791
221,2053,16254,4534,6822,149948104,-2671033,-13645,29791
222,1542,16311,4317,6961,173262976,-2918276,-13828,29706
223,1029,16351,4140,7068,191856630,-3222456,-13828,29706
224,515,16375,3916,7194,214824692,-3470773,-14010,29621
225,0,16384,3733,7291,233160160,-3775142,-14191,29534
226,-515,16375,3547,7383,251379712,-4024708,-14372,29447
227,-1029,16351,3359,7470,269419910,-4274799,-14372,29447
228,-1542,16311,3123,7572,291581076,-4524620,-14553,29358
229,-2053,16254,2931,7649,309195117,-4827301,-14732,29268
230,-2563,16182,2736,7720,326600144,-5076149,-15090,29085
231,-3070,16093,2588,7771,339687615,-5324295,-15269,28992
232,-3574,15989,2391,7834,356725509,-5520936,-15446,28898
233,-4074,15869,2192,7892,373569484,-5767801,-15623,28803
234,-4571,15733,1992,7945,390144944,-6014089,-15800,28706
235,-5063,15582,1790,7993,406487024,-6258857,-16151,28510
236,-5550,15415,1637,8026,418696581,-6502511,-16325,28411
237,-6031,15233,1433,8065,434590490,-6696834,-16673,28208
238,-6507,15036,1279,8090,446389966,-6937999,-16846,28105
239,-6976,14824,1074,8120,461786481,-7130256,-17189,27896
240,-7438,14598,918,8139,473233528,-7368231,-17530,27683
241,-7893,14357,762,8155,484507788,-7559037,-17700,27575
242,-8340,14102,556,8172,499130950,-7748930,-18037,27356
243,-8779,13833,399,8181,509994158,-7981418,-18371,27133
244,-9209,13550,243,8188,520684362,-8168997,-18703,26905
245,-9630,13255,86,8190,531141172,-8355598,-19032,26674
246,-10042,12946,-71,8191,-532240570,-8540456,-19357,26438
247,-10443,12624,-228,8188,-521754668,4545805,-19680,26198
248,-10835,12289,-384,8182,-511096398,4473052,-20000,25955
249,-11215,11943,-541,8173,-500218570,4397049,-19680,26198
250,-11585,11585,-897,8141,-474821584,4317194,-19519,26319
251,-11943,11215,-1203,8102,-452255230,4056726,-19357,26438
252,-12289,10835,-1506,8051,-429022542,3828530,-19195,26556
253,-12624,10443,-1807,7989,-405252756,3589688,-19032,26674
254,-12946,10042,-2106,7916,-380835150,3341727,-18868,26790
255,-13255,9630,-2401,7832,-355939424,3083220,-18868,26790
256,-13550,9209,-2646,7752,-334680430,2816195,-18703,26905
257,-13833,8779,-2935,7647,-308866972,2591460,-18537,27019
258,-14102,8340,-3220,7532,-282604618,2308163,-18371,27133
259,-14357,7893,-3501,7405,-255941636,2016560,-18371,27133
260,-14598,7438,-3732,7292,-233367038,1717201,-18204,27245
261,-14824,6976,-4003,7147,-206069144,1465525,-18204,27245
262,-15036,6507,-4225,7017,-183028440,1153059,-18037,27356
263,-15233,6031,-4486,6854,-155251767,890295,-18037,27356
264,-15415,5550,-4699,6709,-131808856,566535,-18037,27356
265,-15582,5063,-4908,6559,-108278765,293372,-17869,27466
266,-15733,4571,-5150,6370,-79990651,16627,-17869,27466
267,-15869,4074,-5348,6205,-56236684,-321438,-17869,27466
268,-15989,3574,-5540,6034,-32399997,-606485,-17869,27466
269,-16093,3070,-5727,5857,-8580857,-895091,-17869,27466
270,-16182,2563,-5908,5674,15266071,-1186026,-17869,27466
271,-16254,2053,-6084,5486,39105049,-1479849,-18037,27356
272,-16311,1542,-6220,5330,58279197,-1776121,-18037,27356
273,-16351,1029,-6385,5132,82006203,-2017284,-18037,27356
274,-16375,515,-6543,4929,105665572,-2316766,-18204,27245
275,-16384,0,-6665,4762,124640140,-2617946,-18204,27245
276,-16375,-515,-6812,4551,148127744,-2863751,-18371,27133
277,-16351,-1029,-6924,4377,166912310,-3167362,-18371,27133
278,-16311,-1542,-7059,4157,190091078,-3415354,-18537,27019
279,-16254,-2053,-7161,3977,208597254,-3719663,-18703,26905
280,-16182,-2563,-7259,3795,226948532,-3968697,-18868,26790
281,-16093,-3070,-7353,3611,245215258,-4217793,-19032,26674
282,-15989,-3574,-7442,3423,263300126,-4467804,-19195,26556
283,-15869,-4074,-7526,3234,281209103,-4717518,-19357,26438
284,-15733,-4571,-7606,3043,298937219,-4966990,-19519,26319
285,-15582,-5063,-7680,2850,316509898,-5216140,-19680,26198
286,-15415,-5550,-7750,2655,333843790,-5465262,-19841,26077
287,-15233,-6031,-7814,2458,350972840,-5713310,-20000,25955
288,-15036,-6507,-7874,2260,367867120,-5960677,-20159,25832
289,-14824,-6976,-7929,2060,384562665,-6206972,-20475,25582
290,-14598,-7438,-7967,1908,396999800,-6452616,-20631,25456
291,-14357,-7893,-8012,1706,413230456,-6647410,-20942,25201
292,-14102,-8340,-8043,1552,425353162,-6890419,-21096,25072
293,-13833,-8779,-8080,1348,441110672,-7084389,-21403,24811
294,-13550,-9209,-8105,1194,452855570,-7324579,-21554,24680
295,-13255,-9630,-8132,988,468126206,-7516858,-21856,24413
296,-12946,-10042,-8150,833,479463505,-7753968,-22154,24143
297,-12624,-10443,-8164,676,490664068,-7944094,-22448,23870
298,-12289,-10835,-8176,520,501650202,-8133741,-22739,23592
299,-11943,-11215,-8184,363,512478902,-8321935,-22884,23452
300,-11585,-11585,-8190,157,526441864,-8509356,-23170,23170
301,-11215,-11943,-8192,0,536848900,-8736672,-23452,22884
302,-10835,-12289,-8190,-158,-526441864,-8921530,-23731,22594
303,-10443,-12624,-8186,-314,-515903968,4162997,-24007,22301
304,-10042,-12946,-8179,-471,-505130988,4088982,-24413,21856
305,-9630,-13255,-8172,-577,-497736220,4010936,-24279,22005
306,-9209,-13550,-8145,-884,-475856790,3973493,-24143,22154
307,-8779,-13833,-8105,-1188,-453300023,3756235,-24007,22301
308,-8340,-14102,-8055,-1492,-430137030,3528268,-23870,22448
309,-7893,-14357,-7994,-1793,-406345164,3290399,-23731,22594
310,-7438,-14598,-7920,-2092,-381967134,3042284,-23592,22739
311,-6976,-14824,-7836,-2388,-357062072,2784383,-23452,22884
312,-6507,-15036,-7741,-2680,-331659968,2517364,-23311,23027
313,-6031,-15233,-7635,-2969,-305791590,2241542,-23311,23027
314,-5550,-15415,-7538,-3208,-283790650,1957243,-23170,23170
315,-5063,-15582,-7413,-3488,-257187000,1717981,-23170,23170
316,-4571,-15733,-7299,-3719,-234619420,1419482,-23027,23311
317,-4074,-15869,-7154,-3991,-207342826,1168025,-23027,23311
318,-3574,-15989,-7025,-4214,-184274216,855956,-22884,23452
319,-3070,-16093,-6863,-4474,-156523112,592983,-22884,23452
320,-2563,-16182,-6718,-4687,-133110696,269672,-22884,23452
321,-2053,-16254,-6568,-4896,-109567792,-2979,-22884,23452
322,-1542,-16311,-6411,-5100,-85895536,-279743,-22884,23452
323,-1029,-16351,-6248,-5299,-62185464,-560620,-22884,23452
324,-515,-16375,-6078,-5492,-38392376,-844493,-22884,23452
325,0,-16384,-5903,-5680,-14562040,-1131925,-22884,23452
326,515,-16375,-5721,-5863,9306112,-1422359,-22884,23452
327,1029,-16351,-5534,-6040,33164040,-1715805,-22884,23452
328,1542,-16311,-5342,-6211,56967112,-2011674,-23027,23311
329,2053,-16254,-5183,-6344,76085520,-2309414,-23027,23311
330,2563,-16182,-4981,-6503,99748050,-2551795,-23170,23170
331,3070,-16093,-4815,-6628,118769420,-2852382,-23170,23170
332,3574,-15989,-4605,-6776,142263800,-3098134,-23311,23027
333,4074,-15869,-4432,-6890,161071136,-3401202,-23452,22884
334,4571,-15733,-4257,-7000,179759272,-3648849,-23452,22884
335,5063,-15582,-4034,-7130,202865512,-3897032,-23592,22739
336,5550,-15415,-3853,-7230,221282407,-4201817,-23731,22594
337,6031,-15233,-3669,-7325,239576895,-4451112,-23870,22448
338,6507,-15036,-3483,-7415,257682532,-4700861,-24007,22301
339,6976,-14824,-3294,-7501,275674740,-4950230,-24143,22154
340,7438,-14598,-3103,-7582,293482936,-5200131,-24279,22005
341,7893,-14357,-2911,-7658,311064540,-5449679,-24413,21856
342,8340,-14102,-2716,-7729,328490368,-5698329,-24547,21705
343,8779,-13833,-2520,-7795,345663796,-5946931,-24811,21403
344,9209,-13550,-2370,-7842,358569842,-6194275,-24942,21250
345,9630,-13255,-2171,-7899,375355528,-6390710,-25201,20942
346,10042,-12946,-2020,-7939,387904045,-6636475,-25329,20787
347,10443,-12624,-1819,-7988,404296140,-6831663,-25582,20475
348,10835,-12289,-1666,-8021,416502483,-7075696,-25708,20317
349,11215,-11943,-1462,-8061,432430876,-7269746,-25955,20000
350,11585,-11585,-1308,-8087,444264760,-7511103,-26077,19841
351,11943,-11215,-1103,-8118,459715970,-7703554,-26319,19519
352,12289,-10835,-947,-8137,471181234,-7941978,-26556,19195
353,12624,-10443,-792,-8154,482477604,-8132788,-26790,18868
354,12946,-10042,-635,-8168,493657146,-8322735,-27019,18537
355,13255,-9630,-479,-8178,504591732,-8512445,-27245,18204
356,13550,-9209,-322,-8186,515361665,-8700321,-27466,17869
357,13833,-8779,-165,-8190,525910477,-8887330,-27683,17530
358,14102,-8340,-9,-8192,536298242,-9072756,-27896,17189
359,14357,-7893,148,-8191,-526999014,-9257319,-28105,16846
360,14598,-7438,305,-8186,-516443706,3827347,-28310,16499
361,14824,-6976,462,-8179,-505706320,3753176,-28510,16151
362,15036,-6507,618,-8169,-494764952,3675628,-28411,16325
363,15233,-6031,924,-8140,-472822248,3594412,-28310,16499
364,15415,-5550,1229,-8099,-450160042,3376055,-28310,16499
365,15582,-5063,1483,-8057,-430756515,3146461,-28208,16673
366,15733,-4571,1784,-7995,-406970873,2954723,-28105,16846
367,15869,-4074,2083,-7923,-382608868,2706751,-28001,17018
368,15989,-3574,2380,-7839,-357696633,2449115,-27896,17189
369,16093,-3070,2672,-7744,-332328013,2182076,-27896,17189
370,16182,-2563,2914,-7656,-310718701,1906735,-27790,17360
371,16254,-2053,3199,-7541,-284497710,1675148,-27790,17360
372,16311,-1542,3435,-7437,-262222170,1384254,-27683,17530
373,16351,-1029,3711,-7303,-235324029,1139324,-27683,17530
374,16375,-515,3939,-7183,-212535880,834881,-27575,17700
375,16384,0,4205,-7030,-185019750,578363,-27575,17700
376,16375,515,4425,-6894,-161792000,260975,-27575,17700
377,16351,1029,4639,-6751,-138386500,-6349,-27575,17700
378,16311,1542,4849,-6602,-114878150,-278351,-27575,17700
379,16254,2053,5054,-6447,-91257075,-554124,-27575,17700
380,16182,2563,5253,-6285,-67558675,-833802,-27575,17700
381,16093,3070,5448,-6117,-43757425,-1116958,-27575,17700
382,15989,3574,5638,-5943,-19924125,-1403917,-27575,17700
383,15869,4074,5822,-5763,3921475,-1693814,-27575,17700
384,15733,4571,6000,-5577,27743975,-1986409,-27683,17530
385,15582,5063,6139,-5424,46931474,-2281265,-27683,17530
386,15415,5550,6306,-5228,70709373,-2521379,-27790,17360
387,15233,6031,6436,-5067,89804050,-2820278,-27790,17360
388,15036,6507,6592,-4862,113419460,-3063834,-27896,17189
389,14824,6976,6713,-4694,132377643,-3365304,-28001,17018
390,14598,7438,6829,-4523,151240552,-3611735,-28001,17018
391,14357,7893,6968,-4306,174521488,-3859013,-28105,16846
392,14102,8340,7075,-4129,193152780,-4162911,-28208,16673
393,13833,8779,7177,-3949,211640970,-4411828,-28310,16499
394,13550,9209,7274,-3766,229996648,-4660966,-28411,16325
395,13255,9630,7367,-3581,248208524,-4910441,-28510,16151
396,12946,10042,7455,-3394,266266885,-5160100,-28609,15976
397,12624,10443,7539,-3204,284175752,-5409806,-28706,15800
398,12289,10835,7617,-3012,301850814,-5659594,-28803,15623
399,11943,11215,7691,-2819,319386690,-5908405,-28992,15269
400,11585,11585,7743,-2671,332493326,-6157383,-29085,15090
401,11215,11943,7808,-2474,349635300,-6353491,-29177,14912
402,10835,12289,7868,-2276,366572952,-6600874,-29358,14553
403,10443,12624,7911,-2125,379210104,-6847563,-29447,14372
404,10042,12946,7962,-1924,395742831,-7042908,-29621,14010
405,9630,13255,7998,-1772,408081264,-7287751,-29791,13645
406,9209,13550,8030,-1618,420258200,-7482520,-29874,13462
407,8779,13833,8068,-1415,436064692,-7676611,-30037,13094
408,8340,14102,8094,-1260,447888526,-7916862,-30195,12725
409,7893,14357,8116,-1105,459558040,-8109577,-30349,12353
410,7438,14598,8136,-949,471030186,-8301648,-30498,11980
411,6976,14824,8153,-793,482356960,-8492526,-30571,11793
412,6507,15036,8170,-587,497008608,-8682833,-30714,11417
413,6031,15233,8180,-431,507916137,-8915444,-30852,11039
414,5550,15415,8187,-274,518633400,-9103344,-31050,10469
415,5063,15582,8189,-168,525790835,-9290057,-31176,10087
416,4571,15733,8191,-11,536186459,-9433917,-31297,9704
417,4074,15869,8190,146,-527138240,-9618564,-31414,9319
418,3574,15989,8185,303,-516571797,3466453,-31526,8933
419,3070,16093,8178,460,-505839943,3392160,-31685,8351
420,2563,16182,8171,566,-498424582,3314694,-31633,8545
421,2053,16254,8144,872,-476586230,3277072,-31580,8739
422,1542,16311,8106,1178,-454032521,3060395,-31526,8933
423,1029,16351,8056,1481,-430902201,2832544,-31470,9126
424,515,16375,7994,1782,-407120028,2595157,-31470,9126
425,0,16384,7934,2032,-386789940,2347243,-31414,9319
426,-515,16375,7853,2329,-362004480,2139455,-31356,9512
427,-1029,16351,7759,2623,-336648480,1874429,-31356,9512
428,-1542,16311,7673,2865,-315118072,1599704,-31297,9704
429,-2053,16254,7561,3151,-288979881,1369554,-31297,9704
430,-2563,16182,7458,3387,-266797569,1080154,-31237,9896
431,-3070,16093,7325,3665,-239916183,836855,-31237,9896
432,-3574,15989,7206,3893,-217162403,533108,-31237,9896
433,-4074,15869,7081,4117,-194211907,277505,-31237,9896
434,-4571,15733,6948,4338,-171084487,17041,-31237,9896
435,-5063,15582,6808,4554,-147739010,-248062,-31176,10087
436,-5550,15415,6633,4806,-119694229,-518330,-31176,10087
437,-6031,15233,6478,5012,-96077285,-849173,-31237,9896
438,-6507,15036,6349,5174,-77014330,-1128285,-31237,9896
439,-6976,14824,6184,5371,-53230845,-1353634,-31237,9896
440,-7438,14598,6012,5563,-29415176,-1639363,-31237,9896
441,-7893,14357,5834,5749,-5588664,-1928030,-31237,9896
442,-8340,14102,5651,5930,18270032,-2219375,-31297,9704
